KGCode,Katastralgemeinde,EZ,PLZ,Straße,ON,Gst,GstFl,ErwArt,Widmung,Bauklasse,Gebäudehöhe,Bauweise,Zusatz,Schutzzone,Wohnzone,öZ,Bausperre,seitbis,zuordnung,Geschoße,parz,Erwerbsdatum,Anteile,Zähler,Nenner,BJ,TZ,Kaufpreis,mGfl,Baureifgest,percentWidmung,Baurecht,Bis,aufEZ,Stammeinlage,sonstwid,sonstwidprz,address,one_more_time,lon,lat,price_m2,price_log,train,cluster
01205,Hietzing,290,1130,hietzinger hauptstrasse,31,240/9,2062,Kaufvertrag,W,II,NA,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,J,25.04.2007,NA,1,1,1900,1464/2007,6000000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"hietzinger hauptstrasse, 31, vienna, austria",FALSE,16.295567900000002,48.1867759,2909.796314258002,11.506702452677223,1,1
01512,Unterdöbling,355,1190,fuerfanggasse,5,281/9,1822,Kaufvertrag,W,I,7.5,o,Schutzzone,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,10.12.2015,NA,1,1,1990,226/2016,5000000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"fuerfanggasse, 5, vienna, austria",FALSE,16.3502998,48.2516235,2744.2371020856203,11.422189420409486,1,2
01512,Unterdöbling,33,1190,nusswaldgasse,7,48,2641,Kaufvertrag,W,II,NA,o gk,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,07.11.2015,NA,1,1,1970,7045/2015,4200000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"nusswaldgasse, 7, vienna, austria",FALSE,16.3508976,48.2441197,1590.3067020068156,10.635089311048478,1,2
01502,Grinzing,1471,1190,schreiberweg,31,595/1,1500,Kaufvertrag,W,I,7.5,ogk,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,NA,24.09.2008,NA,1,1,2005,4919/08,3500000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"schreiberweg, 31, vienna, austria",FALSE,16.3463812,48.2573539,2333.3333333333335,11.188176705998535,1,2
01503,Heiligenstadt,928,1190,amalgergasse,7,632/7,1197,Kaufvertrag,W,I,7.5,o gk,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,J,04.08.2014,NA,1,1,1950,4287/2014,3450000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"amalgergasse, 7, vienna, austria",TRUE,16.3884569,48.2069949,2882.2055137844613,11.49295749427148,0,NA
01511,Salmannsdorf,71,1190,salmannsdorfer strasse,26,251/1,1516,Kaufvertrag,W,I,4.5,g,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,02.02.2011,NA,1,1,NA,1612/2011,3300000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"salmannsdorfer strasse, 26, vienna, austria",TRUE,16.294652,48.2541883,2176.7810026385223,11.087980555624174,1,2
01215,Unter St.Veit,409,1130,larochegasse,33,280/6,1400,Kaufvertrag,W,II,NA,o,Schutzzone,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,J,09.02.2015,NA,1,1,NA,372/15,3300000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"larochegasse, 33, vienna, austria",FALSE,16.2845326,48.1852832,2357.1428571428573,11.202823481962936,1,1
01209,Ober St.Veit,2462,1130,am meisenbuehel,5,686/4,1930,Kaufvertrag,W,I,6.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,28.03.2012,NA,1,1,1991,321/2014,3250000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"am meisenbuehel, 5, vienna, austria",FALSE,16.2587326,48.1864822,1683.937823834197,10.717623155309823,1,1
01502,Grinzing,1120,1190,hocheneggasse,5,792/21,1957,Kaufvertrag,W,I,6.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,J,22.12.2009,NA,1,1,NA,1096/2010,3100000,NA,FALSCH,50,FALSCH,NA,NA,FALSCH,Sww,50,"hocheneggasse, 5, vienna, austria",FALSE,16.3363989,48.2600004,1584.0572304547777,10.629408744196883,1,2
01514,Währing,2342,1180,hasenauerstrasse,63,1112/1,1200,Kaufvertrag,WII/GBII,NA,NA,NA,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,NA,06.04.1989,1/2,1,2,1924,2655/89,3088596,0,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"hasenauerstrasse, 63, vienna, austria",FALSE,16.3315909,48.2336554,1286.915,10.329701052184822,1,2
01209,Ober St.Veit,487,1130,veitlissengasse,9,685/1,2829,Kaufvertrag,W,I,NA,NA,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,NA,17.12.2002,NA,1,1,1910,96/2003,3000000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"veitlissengasse, 9, vienna, austria",FALSE,16.2607183,48.1869349,1060.4453870625662,10.050454608649078,1,1
01205,Hietzing,325,1130,kopfgasse,3,240/38,1252,Kaufvertrag,W,I,NA,o,Schutzzone,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,09.08.2012,NA,1,1,NA,21450/2012,2950000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"kopfgasse, 3, vienna, austria",FALSE,16.2949057,48.1862419,2356.230031948882,11.202264676866035,1,1
01405,Ottakring,2273,1160,gallitzinstrasse,104,344/8,1484,Kaufvertrag,W,I,7.5,o,25%,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,29.04.2011,NA,1,1,NA,2567/2011,2900000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"gallitzinstrasse, 104, vienna, austria",FALSE,16.2830624,48.21679580000001,1954.177897574124,10.93234609294358,1,1
01502,Grinzing,1104,1190,schreiberweg,50,642/4,1726,Kaufvertrag,W,I,7.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,19.12.2013,NA,1,1,1957,436/2014,2900000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"schreiberweg, 50, vienna, austria",FALSE,16.3448312,48.2578549,1680.1853997682504,10.71440472038543,0,NA
